PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST
1,358,2.4,0,3.2,20.6,2,4.5
1,585,8.3,0,1.2,3.0,2,0.5
1,540,19.9,0,0.6,3.5,2,3.2
1,392,9.0,0,0.9,21.1,2,4.9
3,401,22.7,0,0.7,4.1,2,2.9
3,558,18.9,3,2.9,4.1,2,3.3
3,181,18.7,0,1.2,0.7,2,1.2
1,300,17.1,8,7.5,13.8,2,4.3
1,589,12.6,0,0.8,22.5,3,6.1
1,252,12.1,0,0.9,22.9,3,13.5
1,544,20.2,3,2.8,2.8,2,2.4
3,384,11.7,0,1.1,22.1,3,6.7
4,139,11.7,0,1.2,14.2,2,6.5
2,121,11.8,0,0.8,20.0,2,2.8
2,288,9.9,1,2.0,4.7,2,1.9
1,606,12.9,0,0.3,2.4,2,1.0
4,657,18.4,0,0.7,6.3,2,3.4
1,587,12.3,1,1.5,21.1,2,3.3
1,413,20.1,2,2.4,1.4,2,3.6
3,519,6.4,3,3.4,0.4,2,0.9
3,623,5.6,1,1.3,22.8,2,2.8
4,161,17.8,0,1.7,25.3,3,11.1
3,104,5.0,0,1.0,2.3,2,3.2
1,638,19.2,5,6.0,4.6,2,4.6
1,489,14.1,1,1.4,3.3,2,0.9
3,205,12.1,0,0.8,17.9,2,8.5
2,488,9.1,0,2.7,17.1,2,8.5
2,172,20.5,0,0.9,4.2,2,3.3
3,267,4.8,0,0.2,3.8,2,4.0
1,454,9.0,1,1.2,13.3,2,3.7
1,597,14.1,0,1.5,3.1,2,0.7
1,37,14.4,0,1.0,29.5,3,6.3
4,206,15.4,0,1.1,25.2,3,7.0
1,592,12.4,3,3.8,5.3,2,2.5
1,130,5.8,0,1.0,19.0,2,6.6
1,180,12.2,11,9.7,6.3,2,2.0
1,285,20.0,1,1.4,0.5,2,4.1
2,577,9.0,4,7.0,11.5,2,2.1
3,54,24.0,0,0.0,0.8,2,0.6
1,33,14.1,0,1.0,25.0,3,5.6
3,306,19.9,4,3.6,24.8,3,3.4
2,690,11.2,4,3.4,4.4,2,1.6
4,155,13.3,0,0.9,23.6,3,3.6
1,504,9.0,10,8.5,14.4,2,3.5
4,186,4.1,1,3.4,31.2,3,11.7
2,560,21.7,3,3.2,4.5,2,6.2
4,296,8.7,2,1.9,6.1,2,2.2
2,269,17.2,9,7.5,8.2,2,1.4
4,12,4.5,0,0.3,9.1,2,7.0
3,601,3.1,3,2.9,18.4,2,3.7
1,365,24.0,0,0.0,2.2,2,2.7
4,538,20.6,0,0.6,23.8,3,7.5
4,374,10.0,14,14.6,1.7,2,1.1
3,609,5.7,1,2.4,9.0,2,1.9
4,602,11.6,2,3.2,16.9,2,4.8
4,430,12.1,2,2.4,3.1,2,1.4
2,720,24.0,0,0.0,24.0,2,3.7
4,332,3.6,7,5.7,25.9,3,3.3
3,562,14.1,11,10.3,12.3,2,2.7
4,34,14.1,5,5.1,8.6,2,1.8
1,445,17.1,0,1.1,20.4,2,9.9
3,33,18.6,4,5.1,25.2,3,5.5
2,231,20.0,0,0.0,3.6,2,0.1
1,26,16.0,9,8.2,4.5,2,1.8
4,39,2.8,0,0.8,24.7,3,6.8
4,338,5.8,7,6.9,25.4,3,2.9
2,564,15.3,1,1.2,19.6,2,3.6
